id,status,target_surface,app_category,app_subcategory,title,price_text,price_value,currency,city,country,seller,phone,description,image_urls,source_site,source_url,scraped_at,make,model,trim,year,condition,transmission,color,mileage_km,attributes,source_availability,source_availability_checked_at,source_http_status,source_unavailable_reason,source_last_seen_at,source_resolved_url
apify-d4dfc3f7edef,published,marketplace,services,other,Biomedical Engineering Technical Services in Nairobi,,,,Nairobi,Kenya,Pigiame,0722566999,,data/pigiame-clean-images/apify-d4dfc3f7edef-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/biomedical-engineering-technical-services-in-nairobi-6725274,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""services"",""sourceTags"":""services"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/2737c755a49aa7de28c85a89684174ed/-/horizon-files-prod/pi/picture/q8vp824p/93f23568a03d8bca8506ea475be36c26a27fe8d1.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/biomedical-engineering-technical-services-in-nairobi-6725274
apify-7f407fdf72bc,published,marketplace,services,other,Biomedical Engineering Technical Services,,,,Nairobi,Kenya,Pigiame,0722566999,,data/pigiame-clean-images/apify-7f407fdf72bc-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/biomedical-engineering-technical-services-6725270,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""services"",""sourceTags"":""services"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/d0de901b8be2601d5e810a0ed9a4700c/-/horizon-files-prod/pi/picture/q9m5z2j8/21ed84199e2d72860a70c77862c18f6ab30c16eb.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/biomedical-engineering-technical-services-6725270
apify-5039ebf771cc,published,marketplace,services,food,"Bestcare Events, Weddings & Catering Services in Nakuru",,,,Nairobi,Kenya,Pigiame,0722466091,,data/pigiame-clean-images/apify-5039ebf771cc-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/bestcare-events-weddings-catering-services-in-nakuru-6479657,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""services"",""sourceTags"":""services"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/a3b7ba463da76f804b55a8ebdf19661c/-/horizon-files-prod/pi/picture/qgqm70rn/ea0eda90ab72f3d196f979cdfe8e52f9b2f299ad.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/bestcare-events-weddings-catering-services-in-nakuru-6479657
apify-b79d5bf075a0,published,marketplace,services,home_services,Bestcare Cleaning Services Nakuru-Spotless Homes & Offices,,,,Nairobi,Kenya,Pigiame,0722466091,,data/pigiame-clean-images/apify-b79d5bf075a0-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/bestcare-cleaning-services-nakuru-spotless-homes-offices-6373633,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""services"",""sourceTags"":""services"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/f2a49ac0c54be4dd06f6b48b67fdc99d/-/horizon-files-prod/pi/picture/qxj8pe9n/56647f581d118f5ed9beced70cccdc8ea6dd553a.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/bestcare-cleaning-services-nakuru-spotless-homes-offices-6373633
apify-57088e63abfe,published,marketplace,services,other,Expert Electrical Services | Fast & Reliable | Call Today,,,,Nairobi,Kenya,Pigiame,0722466091,,data/pigiame-clean-images/apify-57088e63abfe-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/expert-electrical-services-fast-reliable-call-today-6724955,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""services"",""sourceTags"":""services"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/6b953b36ec746d1f4ba310772ec4f2d4/-/horizon-files-prod/pi/picture/qxjgmezv/cecbc12cc9a1ce6b6c09db661e33d30d8e013746.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/expert-electrical-services-fast-reliable-call-today-6724955
apify-9c0a444778fe,published,vehicles,vehicles,repairs,Engine rebuilds,"KSh 30,000 - KSh 100,000",30000,KES,Nairobi,Kenya,Pigiame,0795444167,,data/pigiame-clean-images/apify-9c0a444778fe-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/engine-rebuilds-6722012,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""services"",""sourceTags"":""services"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/fc1703615e6817a5b39a6e65c02774fe/-/horizon-files-prod/pi/picture/qm5676dm/f16aa147d1a756521232761309d99ca83da55f04.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/engine-rebuilds-6722012
apify-665f405d5e80,published,marketplace,services,other,Fixit PR — Digital Marketing & PR Agency Nairobi,"KSh 24,000 - KSh 304,000",24000,KES,Nairobi,Kenya,Pigiame,0701895995,,data/pigiame-clean-images/apify-665f405d5e80-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/fixit-pr-digital-marketing-pr-agency-nairobi-6721434,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""services"",""sourceTags"":""services"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/62019709ec7b917017203e5f7da778db/-/horizon-files-prod/pi/picture/qm56700w/f6e2d60283894e319fd4c184bfd92afec6f20558.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/fixit-pr-digital-marketing-pr-agency-nairobi-6721434
apify-9b93f0035b28,published,marketplace,services,other,"Tree felling,site clearing, emergency tree removal","KSh 1,200",1200,KES,Nairobi,Kenya,Pigiame,0724082958,,data/pigiame-clean-images/apify-9b93f0035b28-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/tree-fellingsite-clearing-emergency-tree-removal-6720858,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""services"",""sourceTags"":""services"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/1420b3ce4dbdf3ac30f0d9b8383763e3/-/horizon-files-prod/pi/picture/qkrpk8rv/ac5106b713515942652a868e6ec7775851000ae0.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/tree-fellingsite-clearing-emergency-tree-removal-6720858
apify-476092aa8d8b,published,marketplace,services,other,Modern Undercut Fade Men's Haircut Short Sides,KSh 80 - KSh 500,80,KES,Siaya,Kenya,Pigiame,0759710738 0756500101,,data/pigiame-clean-images/apify-476092aa8d8b-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/modern-undercut-fade-mens-haircut-short-sides-6719581,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""services"",""sourceTags"":""services"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/5da5d70485fb47fdf80cdafd23a0d2cb/-/horizon-files-prod/pi/picture/qj4pg4zw/5cde94d2e139dd9af899850af8172da90d5d926e.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/modern-undercut-fade-mens-haircut-short-sides-6719581
apify-3237617820e8,published,marketplace,electronics,computers_tablets,Laptop battery for DELL 7570 7579 7569 13 5368 5378 7368,"KSh 4,187",4187,KES,Nairobi,Kenya,Pigiame,0748925325,,data/pigiame-clean-images/apify-3237617820e8-1.png,Pigiame,https://www.pigiame.co.ke/listings/laptop-battery-for-dell-7570-7579-7569-13-5368-5378-7368-6189401,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""electronics"",""sourceTags"":""electronics"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/3900c9b73b57374490adf4c04fc670f6/-/horizon-files-prod/pi/picture/q78wgpvg/9d5e4985f6499e945432b8227154c3f0daf8611d.png""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T04:00:24.057Z"",""imageRefreshError"":""No full-size source images were found.""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/laptop-battery-for-dell-7570-7579-7569-13-5368-5378-7368-6189401
apify-38b36392aaf1,published,marketplace,electronics,computers_tablets,60W MacBook Chargers L shaped,"KSh 2,500",2500,KES,Nairobi,Kenya,Dari Households,0727456746,,data/pigiame-clean-images/apify-38b36392aaf1-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/60w-macbook-chargers-l-shaped-6725025,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""electronics"",""sourceTags"":""electronics"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/1f0f91d0edcf2093db9fe6cb6b51bd30/-/horizon-files-prod/pi/picture/q0gn60vm/37b2d63f6646013b0cf2a926384d56a7d2481a99.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/60w-macbook-chargers-l-shaped-6725025
apify-a29e45b87312,published,marketplace,electronics,computers_tablets,60W White Power Adapter 2-Pack Fast Charging,"KSh 2,499",2499,KES,Nairobi,Kenya,Dari Households,0727456746,,data/pigiame-clean-images/apify-a29e45b87312-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/60w-white-power-adapter-2-pack-fast-charging-6725020,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""electronics"",""sourceTags"":""electronics"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/465f68258e2e5aeae6ca9fd902825e15/-/horizon-files-prod/pi/picture/qen98jzk/beaee31a6525a99b4b42af6a33d0c97cec61c239.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/60w-white-power-adapter-2-pack-fast-charging-6725020
apify-5399df00fccd,published,marketplace,electronics,computers_tablets,VGA Splitter Cable 1 Male to 2 Female Blue Connectors,KSh 499,499,KES,Nairobi,Kenya,Dari Households,0727456746,,data/pigiame-clean-images/apify-5399df00fccd-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/vga-splitter-cable-1-male-to-2-female-blue-connectors-6725017,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""electronics"",""sourceTags"":""electronics"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/31916ec6c7d459a0e12c753d0a0ed3b5/-/horizon-files-prod/pi/picture/q2j7vn92/2ad3582913685b111e73ef619418f38fed9dae8a.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/vga-splitter-cable-1-male-to-2-female-blue-connectors-6725017
apify-bda2cb1e4a84,published,marketplace,electronics,audio_headphones,SX23 Wireless Microphone Portable Clear Audio,"KSh 3,299",3299,KES,Nairobi,Kenya,Dari Households,0727456746,,data/pigiame-clean-images/apify-bda2cb1e4a84-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/sx23-wireless-microphone-portable-clear-audio-6725016,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""electronics"",""sourceTags"":""electronics"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/d6caf1b7afea420d8ad9dea9b9368d15/-/horizon-files-prod/pi/picture/qpd09qrq/c07bc6cf152a17031d8b0c7eae8036b199132146.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/sx23-wireless-microphone-portable-clear-audio-6725016
